age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
68,Self-emp-not-inc,79202,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Male,0,0,6,United-States,<=50K
46,Private,210701,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
25,Self-emp-not-inc,192202,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,45,United-States,<=50K
38,Private,337984,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
36,Private,97198,11th,7,Married-civ-spouse,Other-service,Wife,White,Female,0,0,24,United-States,<=50K
56,Private,410549,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,30,United-States,<=50K
27,Private,186314,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,Mexico,<=50K
38,Private,153071,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
44,Private,209694,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
28,State-gov,54123,Assoc-voc,11,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States,<=50K
34,Private,203869,Masters,14,Never-married,Tech-support,Not-in-family,White,Female,0,0,30,United-States,>50K
59,Private,79399,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,50,United-States,>50K
41,Private,137998,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,0,0,50,United-States,<=50K
43,?,226778,Some-college,10,Married-civ-spouse,?,Husband,White,Male,8510,0,8,United-States,>50K
62,Private,124921,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
19,?,130998,Some-college,10,Never-married,?,Own-child,White,Male,0,0,25,United-States,<=50K
39,Private,129993,10th,6,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K
24,Private,160861,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,United-States,<=50K
23,Private,102805,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,20,United-States,<=50K
29,Private,42984,Some-college,10,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,45,United-States,<=50K
55,Private,193567,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,55,United-States,<=50K
23,Private,140929,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
67,?,27741,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,0,10,United-States,<=50K
28,State-gov,281942,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
60,Private,33096,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,>50K
22,Private,270028,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,35,United-States,<=50K
35,Private,457354,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
39,Federal-gov,112523,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
31,Private,365754,HS-grad,9,Never-married,Farming-fishing,Unmarried,Black,Male,0,0,45,United-States,<=50K
35,Private,212881,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
35,Private,905720,11th,7,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
45,Private,139802,7th-8th,4,Married-civ-spouse,Other-service,Wife,White,Female,0,0,25,United-States,<=50K
41,Private,59167,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
21,Private,147198,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,28,United-States,<=50K
63,Private,279512,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,Italy,<=50K
33,Private,199134,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,<=50K
